Content,Project_Title,Discussion_id,Creation_date,Last_Updated_data,Summary
,,,,,
"<div>
<p>The Human-AV Connect Challenge Handbook can be downloaded <a href=""https://ucarecdn.com/d1f1c417-78cc-43fe-8415-d5b3ad490e8f/"" target=""_blank"" rel=""nofollow noopener"">HERE</a>!</p>
<p>The Mobility: Moving Life Challenge Handbook can be downloaded <a href=""https://ucarecdn.com/390b5ca3-bb81-4cc0-90cd-7dfb2a31d2df/"" target=""_blank"" rel=""nofollow noopener"">HERE</a>!</p>
</div>",AV Tipping Point,,19-02-2019 23:43,14-06-2019 22:49,AV Tipping Point
,,,,,
"<span><strong>Background</strong>
CT, computerized tomography, technology is widely used to inspect objects during manufacturing processes in many industries to ensure they meet desired specs. In many cases, thousands of large scans, up to 80 GB, generated daily need to be analyzed by offsite inspectors. The transfer of these large scans can take days, creating bottlenecks in the overall manufacturing process.
Check out the video below to learn more about GE Inspection Technology CT technology and manufacturing plant:
<iframe src=""//www.youtube.com/embed/dbY7D5BE-U0""></iframe></span>",Speedy CT Image Delivery,62784,18-10-2016 03:41,29-03-2018 19:24,Speedy CT Image Delivery
,,,,,
"<p>Problem Statement
  
From food processing plants to agriculture to petroleum refineries, high temperature pipes and equipment are often covered in insulation to prevent heat loss and to protect plant employees. If water gets between the insulation and the piping, corrosion can occur, leading to leaking of process liquid or vapors – a major safety concern. We are looking for a mechanism for monitoring corrosion under insulation.  
  
Frequently Asked Questions (FAQs)
  
<strong>Q: What are the indicators of corrosion?</strong>
  
Corrosion under insulation (CUI) occurs in the presence of water, oxygen and proper temperature. Corrosion can affect the pipe or equipment being insulated, the insulation and/or the protective material covering the insulation called the jacketing. Because of this, the indicators can be material, chemical and/or physical. 
  
For pipes made of carbon and low alloy steel, the temperature range for corrosion is wide, between 10 and 250 degrees F. With this large range, the threat of moisture from condensation, leaks in insulation, rain, and fire protection systems, the risk of CUI is high but difficult to pinpoint. With hundreds of miles of insulated piping and equipment per processing plant, a more thorough mechanism is needed to identify corrosion. 
  
<strong>Q: Are there different types of corrosion?</strong>
  
Yes. The most common types of corrosion are galvanic, chloride, acidic, or alkaline corrosion.
  
<strong>Q: What are current ways to identify corrosion?</strong>
  
The most obvious way to identify corrosion is the removal of the insulation to look at the equipment. This can be time consuming, expensive, and could add additional risk of future moisture seeping in from the removal/reinstall process. 
  
Non-destructive testing (NDT) processes currently used to identify corrosion include radiography, pulsed eddy current (PEC), guided-wave ultrasonics, ultrasonic thickness measurements. Other tools attempt to identify moisture under insulation, although there are cases where corrosion may not be occurring, or dry areas where corrosion has already occurred.</p>",Detecting Corrosion Under Insulation,,15-03-2017 10:00,29-03-2018 18:16,Detecting Corrosion Under Insulation
,,,,,
"<p>In the age of smartphone apps and bitcoins, we make purchases using our phones, watches, or even our home speakers, which is convenient, but has its downsides. As spending has gotten easier our physical connection to the currency has diminished resulting in a mental disconnect between what we are buying and how much we are spending. As a result, many people, adults and younger people alike, have a difficult time truly understanding their spending and can lead to some very sticky financial situations.
According to the <a href=""http://www.apa.org/pubs/journals/releases/xap143213.pdf"">American Psychological Association</a>, physically handling money triggers what is referred to as the “pain of paying” response, which sounds bad, but it helps with responsible spending by maintaining contextual awareness to your account balance. 
For example, if you are buying a pack of gum at the store, and you pull $5 out of your pocket. You can easily watch as 20% of your available funds are chewed up. This experience immediately informs the next purchase that you make. By watching your finances diminish, you are aware of your available balance as well as making you question the personal value that you receive from your next purchase.
On the other side, if you have $5 in an online account and pay with a debit card, you can still make the purchase, but for something small like gum, the purchase feels less significant and the tendency to ignore the effect of that purchase is increased, causing you to forget that you made the purchase or  to minimize how much it actually cost.  
Our goal for this project is to help recreate this “pain of spending” feeling by creating a physical object where a user can not only see, but also physically interact with their spending beyond the digital screen in positive, educational, and engaging interaction.
<strong>Additional Insights:</strong> 
<a href=""https://www.dailyworth.com/posts/how-do-we-teach-kids-about-money-when-they-never-see-cash"">How Do We Teach Kids About Money when the never see cash?</a>
<a href=""http://www.apa.org/pubs/journals/releases/xap143213.pdf"">Monopoly Money: The Effect of Payment Coupling and Form on Spending Behavior</a>
<a href=""http://www.cnbc.com/video/2014/12/10/kids-families-the-cashless-society.html"">Kids, Families, and the Cashless Society</a></p>",IoT Wallet,,10-10-2017 23:27,12-12-2017 17:32,IoT Wallet
,,,,,
"<p>Join the UM:SmartCart team, lead by Ed Olsen — director of University of Michigan’s APRIL Robotics Lab — and help create the first generation of 3D-printed low-speed autonomous vehicles. You can help members of the team by providing suggestions and insight for physical modifications to the vehicles such as mounting sensors, computers, and antennas.</p>",UM SmartCart,62801,10-09-2015 21:00,12-12-2017 17:45,UM SmartCart
